#FMR data, this file includes calibration measurements, correction factor and corrected S11
S11a	S11m	S11o	S11l
(31.29027488015455-3.8652575666218185j)	(16.116309772872725-14.138078342781817j)	(31.342614780754545-3.9240813038572724j)	(39.15472654858181+6.269215930593636j)	
(54.0262662714091-19.168654875318186j)	(29.665318575781825-47.43456441707273j)	(54.15990343961817-19.23910886592727j)	(60.25565893003636+1.495691613718182j)	
(55.45678572222727-30.731249895954544j)	(37.30905324763636-80.61657853559998j)	(55.56068697842727-30.708957672090907j)	(57.46995509754545-11.49743080138182j)	
(43.52848781239999-4.855126641013635j)	(89.0164441195091-56.29220997200911j)	(43.57084794480001-4.8654088974036345j)	(37.04827221954546+1.842150666495455j)	
(48.10409858007274+12.376836429963639j)	(138.72984036545452+49.976103002354556j)	(48.138561942381806+12.400762644727275j)	(40.56689383768181+9.114581541580002j)	
(76.32014187900911+6.725538253785453j)	(133.74533774654543+128.73801907590908j)	(76.29650601474547+6.74006353725j)	(67.80963342843637-5.670654513615455j)	
(61.27492315118182-8.637411811133635j)	(71.96136405251818+63.15368270874546j)	(61.31598108462727-8.652467987755454j)	(57.852511666000005-20.908956701127273j)	
(30.06929570974545+7.250124497845452j)	(17.35042814777273+27.57691816854545j)	(30.054770729736365+7.206415609878182j)	(35.674041748018176+2.1459422544999995j)	
(31.441443703363632+14.085277730736362j)	(11.117839553181819+21.78811125318181j)	(31.45158958437273+14.005241133927273j)	(40.32173191415455+13.710065148099998j)	
(60.954404657509095-2.0977159846954545j)	(23.047657706509092+5.504627314478183j)	(60.978646018263646-2.158929478038181j)	(74.83574260366362-0.7999198436739093j)	
(52.86126431550908-24.10609956225455j)	(17.166867516254545-16.169446251590912j)	(52.81312838469091-24.06598698009091j)	(59.64507848568182-18.931457346172724j)	
(35.92411492083636-5.505650910466362j)	(9.622069185426366-13.681377584272727j)	(35.92698842830001-5.5112483284700025j)	(33.26049561936364+1.518547719178182j)	
(47.550924821354556+8.891141718080911j)	(23.805003252899997-20.710991599363638j)	(47.607391357400004+8.888783454898178j)	(37.037209250727265+13.929938749863634j)	
(88.75189833207277-2.4843608899518186j)	(66.17917494339093-68.84797460384544j)	(88.73340121185454-2.3996926871181814j)	(67.28544131194548-0.7355144728317273j)	
(84.76935716105453-15.54968140341818j)	(75.9486416903636-100.96661030172727j)	(84.67570981113634-15.299518845290907j)	(59.41096843375455-19.45228368583636j)	
(44.3600345958091+13.571574471236364j)	(118.3291320798182+10.646549745018179j)	(44.26085350727273+13.605109908336363j)	(36.021235379327265-0.03973166407510909j)	
(38.90927748246364+25.07424649324545j)	(54.9743600324909+68.28156072445455j)	(38.872228102236356+24.982894897427272j)	(40.11059362236365+10.379815014918181j)	
(58.98865196925455+14.819134105363638j)	(61.01642365888182+81.24351570819093j)	(58.889328696518184+14.751820997736365j)	(65.92118072505453-5.335854313593638j)	
(48.42977523801819-2.4264529618318176j)	(42.55008489434545+44.74806802921819j)	(48.33806332677272-2.4307304729109096j)	(59.0981972434-15.74278736112727j)	
(29.32095111498182+4.630082433874546j)	(15.544228120254546+18.696074225672724j)	(29.2888741926909+4.583084930073635j)	(40.42448113183636+4.8654997132018165j)	
(33.557533610972726+4.312966650180001j)	(14.486482793636364+12.393970576200001j)	(33.5856559059909+4.2523294795672735j)	(43.37031312422729+12.153771227018186j)	
(47.062013452672744-21.01521422648182j)	(20.081545396290906-11.226492448254545j)	(47.139272863209094-21.114186373618182j)	(59.501647949245445-7.710151152174548j)	
(46.511784640245445-29.201337294181826j)	(18.461230017927274-29.086711363363634j)	(46.62227318501818-29.22926105154545j)	(51.80563701280002-12.48502037743636j)	
(47.5885155418-5.924684827974547j)	(21.696374026227268-25.80993062802727j)	(47.64036976207273-5.91527214916909j)	(37.73318966951819+8.01111429388091j)	
(66.96827281602727+6.2430335391645455j)	(45.51278963956365-42.270576130227276j)	(66.99105765606363+6.203815373510911j)	(46.225043556890896+14.629352136099998j)	
(83.43375396727274-27.636146892181817j)	(59.77221194178182-94.85010597921817j)	(83.4195847945-27.551962418990907j)	(59.41148966009091-17.1242693121j)	
(63.693827889172724-15.05378454380909j)	(103.124688582-70.56071818962728j)	(63.59076343886363-14.851672085863635j)	(45.83408529105455-18.48327792774545j)	
(39.06296573983638+21.917496767899998j)	(58.30395785246365+56.95824813843637j)	(38.9346230247091+21.92364449932727j)	(37.92707512597273+9.90321315418727j)	
(39.846713326209084+30.78530606356363j)	(24.932357961454546+64.8624850186j)	(39.780484286227264+30.700927387581817j)	(48.15190610019092+20.712100635863635j)	
(56.38696323741819-3.7334976413036354j)	(42.7971860712+48.63862263071818j)	(56.36134719847273-3.816865942699091j)	(66.18196036599089-16.637805591963634j)	
(34.74863572553636-18.035087412054544j)	(23.952830921481816+14.52899256623636j)	(34.70795232599091-18.085755781718184j)	(44.95174754749091-22.53738125886364j)	
(27.378883015009087+2.582865758377273j)	(7.469749884173635+14.454824100845451j)	(27.358715577563633+2.5587817755599995j)	(34.916647824336366+9.869973095978182j)	
(41.72686906295455+10.065184766600002j)	(14.07846476810909+12.002072594363634j)	(41.757558649245446+10.02491846950909j)	(42.408854744654555+24.675582192163642j)	
(66.08171497692727-33.65000048549999j)	(26.461050206936363-26.638887578799995j)	(66.20853007922726-33.69966056130001j)	(67.4181359030909-9.782443219966362j)	
(48.185380762290904-47.652140183845454j)	(12.440431508127272-44.935751134700006j)	(48.35692700475454-47.56830735639091j)	(45.65884330056364-26.663790442763627j)	
(54.10080718995453+0.3631840077317273j)	(31.88048570805454-42.27484304252727j)	(54.049318140227264+0.5777323246002727j)	(36.23806936089999+3.050959196958182j)	
(50.12450027462727+35.02458294957273j)	(106.02974839636363-27.650528821081817j)	(49.90282301467271+35.05450578168181j)	(39.43306038598181+20.00896939362727j)	
(77.03161621095455+29.140002337363637j)	(210.07213800581818-105.87880290627271j)	(76.78871848365452+29.25462930852727j)	(64.79544275458181-2.866624615407273j)	
(63.37508357655454+0.983866339381182j)	(182.4830433236363-68.52968666771818j)	(63.23305476793636+1.1311888369654546j)	(52.32345130225456-27.619103518381813j)	
(33.377153916827275+14.794748046199997j)	(56.38831780173637+48.38508293844545j)	(33.26917682996364+14.778474114163632j)	(43.74626957286364-1.8224076466109094j)	
(22.87431300769091+21.163451454854545j)	(20.260552666400002+44.53365742076364j)	(22.822104714109088+21.088253888199997j)	(39.61939412897272+17.62037294559091j)	
(31.942699605781815+1.9649458039872725j)	(20.808496475227276+28.08879522840909j)	(31.94318771363636+1.8641876524172727j)	(55.57277818161819+3.8838855786781816j)	
(30.684284036763643-20.30624840475454j)	(18.63274002078182+2.9669975150690915j)	(30.747866717263637-20.36751452362727j)	(54.6945884011091-16.208648508227267j)	
(31.866786436609083-18.16414642336363j)	(14.900582833718184+0.3404309397392728j)	(31.955166730000006-18.17099761962727j)	(50.11801494249091-1.08595636758j)	
(40.59324958104544-15.931573694390906j)	(15.942639090781817-4.321576291864546j)	(40.74544247714546-15.943908171254543j)	(44.00397942281818+9.32492698322818j)	
(50.438091971672726-28.217598828390898j)	(19.636904976581818-24.084194009963642j)	(50.641947659590905-28.21379713575455j)	(43.76469421389091-0.05208190869202727j)	
(73.79833706939999-36.822770899000005j)	(32.334994576172726-48.45077861441818j)	(74.13273620605453-36.59741280296364j)	(50.76822142169091-7.709440838204545j)	
(107.98487091054547+7.6391839547609095j)	(81.70482219351817-80.56905781135454j)	(107.84752100163635+8.240986477246365j)	(58.80069004401818+0.4708475904034545j)	
(67.99025587601821+37.48606629802729j)	(184.82696810681824+22.50856781006364j)	(67.5720180164909+37.46728238193636j)	(52.92454216694545+4.246572494505455j)	
(44.72638078168182+22.968627062727283j)	(101.3602267179091+56.45395070858182j)	(44.55193779686364+22.914366982218176j)	(42.21185926956362-4.691845243626363j)	
(33.779997738954535+21.44135978006364j)	(58.0536062066818+58.69809757580908j)	(33.68342174182726+21.344599463727278j)	(43.53327629786363-3.805312113329091j)	
(33.21496339276364+27.001718867936365j)	(31.569570541400005+60.72363454643636j)	(33.13268418747272+26.85880608990909j)	(59.49890622224545+10.763245929336358j)	
(34.32827446674545+12.91744327548182j)	(25.546229795945454+35.33664634012727j)	(34.24173181703636+12.758169694345453j)	(63.812237479472735+8.189930915832727j)	
(23.77421639183636-7.209919322619091j)	(18.728331825972724+5.5607419880936355j)	(23.725294806763642-7.321511355312727j)	(42.333213806109086-8.168549797750908j)	
(22.121685201436357-11.929708134018181j)	(13.623564546736365-2.7120008251899996j)	(22.135848132018186-12.021600463163633j)	(36.69390175559091-4.309178092267273j)	
(44.51510065251819-16.16961184416364j)	(20.603643590754547-11.339806383263639j)	(44.66309322011817-16.18974859061818j)	(49.13933181767272+11.148923267018176j)	
(84.06956898080001-32.62916599620001j)	(35.64069366454545-32.897015658299985j)	(84.36645577170002-32.53464299986363j)	(67.68008422851818+16.597045378227268j)	
(60.27127699418181-49.392667597000006j)	(27.31990484757273-47.05558083277272j)	(60.4551894447909-49.381317138672735j)	(51.04599761961818-14.749163454272727j)	
(56.721988331154535-22.304396369227284j)	(34.86816753039091-43.672004699718165j)	(56.852025465545445-22.13590119105455j)	(33.450297615781814-10.387975952863636j)	
(64.13612157647275+39.71604156493636j)	(114.15984691281818+13.73363347489091j)	(63.860728870754535+39.88601823288182j)	(44.33538436887272+11.753073605627275j)	
(62.59621152008183+64.48551940920909j)	(105.38829456663635+101.12021359545456j)	(62.29272356899091+64.3169860840182j)	(66.86280684039997+22.23883732883636j)	
(51.39954965765453+23.09581895305454j)	(72.09956498579999+61.01524595776363j)	(51.20625721328181+22.897802526290903j)	(60.071027235527275-10.822797948654548j)	
(23.875481692218177+1.8111134008936365j)	(25.64164022969091+21.554459311727275j)	(23.820009925127263+1.7048429033963635j)	(35.64377975466364-14.589057402172728j)	
(19.304405385754553+9.91503620148j)	(13.836894208763635+22.005254225300003j)	(19.29631978818182+9.807576873085456j)	(37.727858803463626+6.753539042041819j)	
(32.0343038385909+11.534188183863638j)	(20.0371095484091+23.254926161363638j)	(32.08557995880908+11.400483564899998j)	(56.34047941729091+24.305960048336363j)	
(36.05675333196363-19.812999725381815j)	(23.900550842281813-6.495488730340909j)	(36.070876728418185-20.007503336163637j)	(64.41980674050909-7.114739678122726j)	
(23.597831032509095-28.017923701909087j)	(14.047579071763636-21.59408083828181j)	(23.649906678645454-28.128005634618173j)	(37.99355212121819-15.549666231336362j)	
(38.629687569336355-22.072896090409092j)	(21.97121932286364-23.843166004509087j)	(38.799362529409095-22.08871442624546j)	(38.211293307236375+1.0091649293909093j)	
(89.17910142376365-5.108195825056362j)	(64.23082871870909-41.89066106623636j)	(89.40199418502728-4.779110128232727j)	(53.74482969802725+18.351389798254537j)	
(115.85090359790907-14.417700594136363j)	(101.64704686963636-77.2046252164j)	(115.88428705427273-14.028334617627273j)	(66.04710804335453-0.790851213715091j)	
(80.18718164614543-8.473210854968185j)	(97.91395707567274-56.15520269216363j)	(80.05908966063637-8.212730060923636j)	(44.84137691152727-14.016608931827271j)	
(51.47675046049999+22.937325217536365j)	(86.39292006058182+30.744257493463632j)	(51.251517555918184+22.9549515464j)	(39.40201811355454-0.575975607742j)	
(41.49253533106362+36.77879576250907j)	(46.08297035908182+57.15560635652727j)	(41.347666653709105+36.65066008137273j)	(52.071453441254555+14.249942259372725j)	
(41.656799316400004+23.514533996554544j)	(39.22523914680907+41.50302054664546j)	(41.56184352526363+23.361130107563636j)	(60.513133655900006+4.943563808090908j)	
(29.05654941902727+0.6598226102915457j)	(25.048744548445452+13.9192057523j)	(28.988408002000003+0.5250867171721817j)	(46.35553117233638-11.093536983836362j)	
(22.73675658485454-2.2820291085699997j)	(15.470836205927274+5.3644908991727265j)	(22.73633193973637-2.3802033337681814j)	(39.2836584611091-1.8796048056j)	
(32.97833217271818-4.207880410279999j)	(19.880705920109087+0.7700112191109091j)	(33.03665820039091-4.297777349295454j)	(50.170528411890906+10.261833190954544j)	
(45.45418964736363-21.324740843318178j)	(27.2674631639-16.640758167581815j)	(45.53634158046363-21.45642610032727j)	(62.45374055342727+2.514263629909091j)	
(39.600109793927274-32.952921780672725j)	(23.816397927018183-32.563054171490904j)	(39.71278311992726-33.0124737132909j)	(46.5259579745-11.858124386163638j)	
(50.24766956677272-21.780455502609087j)	(35.23765598641818-34.16510391235455j)	(50.3993481723091-21.67886179144545j)	(39.43080520629091-1.888662750073636j)	
(88.83535281090909+10.231551950590907j)	(98.36855801669093-32.280954187554535j)	(88.74201341110002+10.658316092063636j)	(53.0322602012+12.621325146045459j)	
(103.72062544427271+23.4629608501j)	(163.83441023399996-10.171040274872725j)	(103.3875288529091+23.76789162374546j)	(65.1504232232909+3.1205187060599995j)	
(67.43791337447273+11.05427646637273j)	(111.18043379354545+17.815387378999993j)	(67.19687930016362+11.103465860581819j)	(47.75657827203636-11.602278102545455j)	
(36.53343235367272+18.704670472581814j)	(45.64738672430001+36.1921178644j)	(36.408404263581815+18.617080688454546j)	(37.54423280195455-0.7222030054439091j)	
(31.705706336281818+27.655826568581812j)	(27.772159229645457+42.77184122258181j)	(31.66311246696363+27.505313353099996j)	(47.13174577191819+13.554172515899996j)	
(41.69156022505455+16.32678517427273j)	(32.59627116807273+32.01077582618182j)	(41.657844890236355+16.11680759083636j)	(66.84984449910002+4.539250113745454j)	
(31.176228263163637-8.243937665769998j)	(24.78218893571818+1.1485397165472726j)	(31.17057297446363-8.362604054540908j)	(48.960632324236364-13.369267463699998j)	
(22.811553781709094-9.74106988039909j)	(15.56142928384545-5.714310689406362j)	(22.866036328409088-9.837271690365453j)	(36.14891745826363-4.854865247552727j)	
(35.73263792560908-7.323188608344546j)	(22.500620928700002-8.101848428899087j)	(35.878392653000006-7.424527428367272j)	(44.84145285865456+11.065099629499999j)	
(64.68813323976363-24.405972394090906j)	(42.09403228756364-32.254271073754545j)	(64.9186657991909-24.48217045179091j)	(67.01312602649091+8.29451673680818j)	
(59.8805809021091-44.621601798309094j)	(37.31985542991818-55.583601171336355j)	(60.12727043847273-44.63086318970001j)	(56.99082599986364-14.051972042454542j)	
(55.37562144885453-22.05928369000909j)	(47.08929963547273-45.87201274522727j)	(55.502226742799984-21.905120676190915j)	(38.55709006567273-6.310418475758183j)	
(62.02198583425456+18.137375744918184j)	(91.09499151060909+9.88179328224909j)	(61.8822839910091+18.31396224282728j)	(42.08241861514547+8.986714363099091j)	
(69.34544095126364+40.52287708626364j)	(93.8475251631+65.96902049669998j)	(69.08304734663635+40.56512867318181j)	(59.80970243974547+13.599716793390906j)	
(64.43237790192725+20.060972733927276j)	(84.23702933570908+51.78502100162727j)	(64.18098172277274+20.056470177363643j)	(58.92456540197272-8.677777203645455j)	
(33.99292061547273+9.03676856647727j)	(33.84956013076364+26.533111745663632j)	(33.91024052016364+8.966427803042729j)	(40.34901324182728-6.629855632781817j)	
(26.947384227418183+9.992611018094546j)	(19.696216063100003+20.83327154683636j)	(26.954483379054544+9.907453363590907j)	(41.27554390646363+3.358916260977274j)	
(34.432760758836366+6.877840518947272j)	(22.127025777636366+17.32463611257272j)	(34.45600509639092+6.762743559749091j)	(56.67852679163638+7.916045795785456j)	
(34.53629996561819-10.209248456081818j)	(22.265374963918184-1.7335908846427277j)	(34.59849687057273-10.326391653609093j)	(55.64765687424544-4.26324644955909j)	
(31.425149397409086-17.265074816618178j)	(19.63690098844545-13.342221260072728j)	(31.526370828800005-17.35760480707273j)	(45.62875366209093-5.361158544366364j)	
(41.382814927518176-18.94666099549091j)	(26.004629828709096-20.36968005788182j)	(41.54454005849998-18.990755948172723j)	(47.43468752777273+0.7376821474592727j)	
(66.01696222478182-24.24510713055454j)	(44.38017723778183-41.18122863768182j)	(66.27782301468183-24.06700550423637j)	(55.20489467277271+1.6032579812163636j)	
(77.02148437503637-13.172946929954543j)	(73.20289265024547-52.68922424316363j)	(77.13917125354547-12.797955079481817j)	(50.58768046987272-0.49880428747672717j)	
(72.86902618404544+13.39852922612727j)	(110.65916650927274-14.099477854663636j)	(72.69024242056365+13.709366364936361j)	(45.93395371870909+3.724066127431818j)	
(73.76491130480002+27.06217679108182j)	(124.64561878518184+32.907442959854535j)	(73.5091559669909+27.2494102825j)	(53.78367580065455+1.7598714503399997j)	
(59.0151207664+23.283393513063636j)	(82.52829187567274+49.56561348656362j)	(58.76412443679091+23.260956850909093j)	(54.39365733751817-4.9485797448609095j)	
(35.628120422372724+15.242717569518181j)	(37.33184571697273+32.21446678854546j)	(35.49904910001818+15.131213621618182j)	(43.5620429299-2.8315923213945458j)	
(25.357170625190914+14.605781728563636j)	(19.95493524721818+25.088218168754544j)	(25.336447108863634+14.489172848781818j)	(40.39981183140909+6.718754898421818j)	
(34.226744565081816+7.104591543025454j)	(23.24345623362727+16.85926697471818j)	(34.26331433384545+6.9585574756954545j)	(56.806549072290906+6.428652893411817j)	
(38.40239021994545-17.464226982836365j)	(26.07713283189091-7.516470562328182j)	(38.4443733909-17.59817487542727j)	(63.18007729267271-15.466168923827274j)	
(25.98056931928182-18.228154442490908j)	(16.35061316060909-13.689654957136364j)	(26.034397125272722-18.318486993999997j)	(40.194352583472714-9.468956860627275j)	
(34.29387838191818-8.450502915816365j)	(21.624192671354542-10.414376865727272j)	(34.432451768327276-8.506932258608181j)	(36.73889194838181+8.726323301146365j)	
(80.50784787265455-10.972005323954546j)	(58.034586126136354-36.03212842072726j)	(80.85285672278182-10.819858637745458j)	(58.2492315119091+17.438370617963635j)	
(100.88162370163636-60.144119956281834j)	(69.09793368252728-90.67390649965454j)	(101.31046780636362-59.889020399618175j)	(75.19376858798181-18.74587267095455j)	
(65.50380776147273-20.022489547745458j)	(69.46851140800908-49.02735831519091j)	(65.50197670672726-19.735768058063634j)	(40.587820573318176-13.246154958536362j)	
(37.05578266492728+24.95022426955454j)	(56.324983770199985+37.50767378372726j)	(36.86115230212728+24.931254126809087j)	(29.774075248027266+8.112430485809998j)	
(41.214692549272726+46.53785497494544j)	(42.59616331620908+72.74074485089089j)	(41.080332669363635+46.39869898016364j)	(50.62506693058183+20.49504384122728j)	
(69.79186664928181+24.253742044627266j)	(78.24087801842727+58.99277357622727j)	(69.55111902408181+24.067067406418182j)	(78.5233771583909-15.616105773254546j)	
(31.95031478190909-2.0456009778100004j)	(32.87257801405454+12.723339947772727j)	(31.825122659890905-2.1689326112900003j)	(42.55939032815454-19.858916369390908j)	
(15.479469299318184+5.120222178376365j)	(10.927333224927272+10.391744700363638j)	(15.491687948099997+5.022231232036363j)	(28.035840294581817+3.7143747156345457j)	
(30.86298717155455+8.931871847670909j)	(21.405091892554548+11.55446503380909j)	(30.967748468572722+8.800680767405451j)	(46.810178930127265+20.22743381155455j)	
(54.815666198690906-37.31306110728182j)	(36.545183355145454-29.50856035406364j)	(55.027275085463614-37.56011130593637j)	(90.42445928399091-16.64420994848181j)	
(30.77065017006364-37.80202449449999j)	(17.751832441827272-34.74853272874545j)	(30.923750270472723-37.9072851701j)	(47.61116652053635-21.678030360836356j)	
(35.50356570156363-12.414646061999997j)	(24.465343128581818-21.090941689236363j)	(35.654656150099996-12.36497618937273j)	(30.12141626532727+4.826911189342727j)	
(73.15140533447273+10.848678762290909j)	(73.87847622959092-21.047677993754544j)	(73.2944141734727+11.173756686145452j)	(43.784169283781814+20.535858674472728j)	
(137.9164886473636-22.888436750909097j)	(146.0748013586364-89.76238874956364j)	(138.2825026082727-22.004834435218182j)	(80.49037933350913-7.425477938216365j)	
(79.61198494654546-11.783721923799998j)	(110.12232624436365-28.155613292300004j)	(79.45618369360909-11.392022826418184j)	(49.32220458989092-19.2201281461j)	
(31.246354709990896+20.29742934485455j)	(35.73963616114546+31.447379198981817j)	(31.08052375104544+20.234097567445453j)	(29.85095266859092+5.144142844459092j)	
(30.906353517018182+30.117295005109096j)	(26.411359093390907+41.86941008136364j)	(30.846145803254544+29.963489705872732j)	(42.02366256710909+15.27033762499091j)	
(52.053079084945445+9.951497684825457j)	(42.67267157813637+30.16784217142727j)	(51.97593619605454+9.770281271497272j)	(73.82469662752726-14.01126176663636j)	
(33.26790098712728-7.29297460209091j)	(26.925075357600004+5.033028862690002j)	(33.196332758109094-7.401704961604545j)	(51.2338177074-20.037618637109098j)	
(21.000605843309096+1.170134284278182j)	(14.530241359390907+4.799418492749091j)	(20.993901859663637+1.077605854380909j)	(34.24250411984544+4.6261374300190905j)	
(34.23907678778181+1.7184671705390906j)	(24.05413211474545+1.3550669496709093j)	(34.34795761108182+1.6031693436881822j)	(45.349587180390905+17.238195245927265j)	
(52.39213770085455-35.954890164445445j)	(38.65379368172727-36.49274305864546j)	(52.59377635610908-36.124219027445456j)	(69.15170357441816-15.8953101418j)	
(48.97920365769999-36.93201689284545j)	(37.459083903899995-44.09589594061819j)	(49.180793415400004-36.90834600273636j)	(51.48501933706363-16.113558335718185j)	
(54.33533165674545+2.9979587684981817j)	(62.602011940681805-20.115756468327273j)	(54.298820495590896+3.1911189122654546j)	(34.65347567467273+9.262991211630004j)	
(70.10443462024544+28.9607103521j)	(114.0673592311818+15.170990423718182j)	(69.90529355135455+29.10253334042727j)	(43.39979102394546+16.243914517509086j)	
(100.30824487845456-2.7689827138709084j)	(146.752372048-26.698692668572733j)	(100.08480557536363-2.416077982298182j)	(62.345694455218194-15.926439805445453j)	
(64.73598549580909+3.1143201914727268j)	(87.77574920650909+10.54908275607273j)	(64.41313379457273+3.265929655592727j)	(47.90891057793635-16.662365826709085j)	
(31.285297047045447+23.209350065736366j)	(30.695469769554542+32.58912311902727j)	(31.128871570954548+23.07611430775455j)	(37.61725096268182+9.035388773135454j)	
(31.15029092271818+22.763709328409092j)	(25.59045566207273+28.850206548500008j)	(31.12558572939091+22.576497858199996j)	(45.10184998944547+15.2208894383j)	
(40.841771906099986-9.187024289908186j)	(31.85931777952727-0.006237266754554546j)	(40.82132062046364-9.384873910383634j)	(60.99478184096365-20.851458809563635j)	
(28.89583258197273-15.467692895336365j)	(19.52149911357272-9.35389614105091j)	(28.916716662281818-15.572928168527271j)	(47.1962873285091-18.202577417545452j)	
(30.045216993881816+0.8176315968689091j)	(19.555892597509086+0.5421572165056363j)	(30.09391923387272+0.7626217657870907j)	(41.46856793493635+13.808863813209086j)	
(45.81988282632728-2.772697752172727j)	(34.036632884654544-6.960929957304545j)	(45.92798614502727-2.884668133471818j)	(50.9352687488818+18.291293751081824j)	
(45.77582029864546-35.4432050531909j)	(35.48174008457273-38.676948894109096j)	(45.93421173092726-35.54751136088181j)	(52.77046689120909-16.37161913783636j)	
(49.73765737362727-31.00179030680909j)	(44.64341735841818-41.924617767354555j)	(49.982217962118185-30.898567546499997j)	(43.547139601299996-13.489423405j)	
(63.28801276465453+23.172354438127268j)	(82.44236131148182+21.952669663854543j)	(63.096630096436364+23.398077011090912j)	(43.81559961493637+17.845654227499995j)	
(69.19156646727274+36.4422607421909j)	(89.19950866697273+56.471742109845444j)	(68.94062805173635+36.40781818732727j)	(53.43310096048182+17.133109005999998j)	
(61.608855854363625-4.442215529352727j)	(90.44783852320911+10.888948180454543j)	(61.4990345348-4.408196492629091j)	(45.41670851271819-20.090252962972723j)	
(40.86116790772727+4.566132762214546j)	(50.46630720656364+20.51927081021818j)	(40.76825401996363+4.592399683866364j)	(37.631951418790905-12.078905365690906j)	
(32.955329895027276+30.58825562214546j)	(27.911829688299996+39.77425037733636j)	(32.877746235272724+30.473606109572735j)	(46.8678703307909+21.294398741299997j)	
(47.69510685314545+23.69429917769091j)	(39.39853598852727+31.142999822418176j)	(47.66388216886362+23.42745278097272j)	(68.94726770575456+18.746086987581812j)	
(28.527009617163635-20.026685888109085j)	(23.511004708045455-15.36182386223636j)	(28.486276973363644-20.190962878172726j)	(40.92005434907273-24.620482878263637j)	
(21.617260672854545-12.437739198863635j)	(15.528581532545456-11.764772761972727j)	(21.705538663-12.523945634990907j)	(31.72571494360909-8.525542692705455j)	
(50.838587674218175+9.330654317682725j)	(39.67203521730908-3.5412023500918184j)	(51.02755529230001+9.433593923397272j)	(49.01187237825456+29.717100316845457j)	
(89.70653048429999-8.839567184446363j)	(67.43619398635454-34.84949805522728j)	(89.94267064875453-8.851971886377275j)	(77.04418667880002+25.41817023533636j)	
(37.99604346534546-42.96562056104546j)	(26.284059524509093-48.78117994828181j)	(38.1178294095091-43.04789248379091j)	(38.99928595804546-24.52482379568181j)	
(34.16361340606364-16.98786440762727j)	(32.865075198045446-25.748257723699997j)	(34.308035763790905-16.896249077527273j)	(25.227433638127273-8.296725880014543j)	
(50.63773588699089+42.63247958096364j)	(59.66901675136364+48.831131328245455j)	(50.407333374009085+42.7528291182j)	(41.75006242232728+28.599287726654538j)	
(89.89631860905452+66.45137370712726j)	(93.64912691983636+87.58354187010002j)	(89.48488686299093+66.25287836247274j)	(87.26878634365455+32.36752839523635j)	
(48.52890777584546-13.395081433372727j)	(55.47494194725454-0.7983927997675454j)	(48.32840451330001-13.461473118136363j)	(40.36694925481819-29.178226644363633j)	
(19.874561309790902-2.476551207628181j)	(18.373587521618177+4.648954218079999j)	(19.844806671109087-2.520706892010909j)	(22.360394391154543-11.722319082827273j)	
(25.160010077763634+27.63612660499091j)	(18.13240970266364+31.511685458063642j)	(25.16871452334545+27.5562820435j)	(39.67798545146365+27.56851022893636j)	
(64.65298878063639+34.11238167503637j)	(50.35911213268182+39.01766551623636j)	(64.63937377928183+33.851622494754544j)	(96.2287784923+45.600254752445466j)	
(32.0663993142-25.14614833483637j)	(27.078014200418178-21.493628415190912j)	(31.987804066036365-25.309947794109096j)	(47.423103332545445-27.13495410572727j)	
(17.24532058021818-17.467018300818182j)	(14.036643288336363-17.694658452781816j)	(17.30820655821818-17.546441685036363j)	(24.14944804798182-13.437064430918182j)	
(41.41213226319092+6.376427780498181j)	(41.59494295983636-2.6586999459654543j)	(41.56953256778181+6.547879002307271j)	(34.78893730857273+18.981177243345453j)	
(107.8466047810909+56.84810915856364j)	(152.26287564345452+50.31683176216364j)	(107.49543554172725+57.2340167652091j)	(68.342910073+55.08794541792728j)	
(72.00761344217273-57.26181931928183j)	(66.35096810077272-89.89093295006364j)	(72.0936528985818-57.0750184492909j)	(56.52456838433636-28.351784446027274j)	
(32.47764483367271-20.853285356009096j)	(37.63695803556363-31.156749205163635j)	(32.5551452636909-20.762275175600003j)	(21.94677144830909-15.498588475309095j)	
(40.684458645918184+25.5086770491j)	(47.46618582983637+34.575792485981815j)	(40.48181395099999+25.66379026934546j)	(33.883089585718174+11.950902505318185j)	
(52.03937079693635+71.51858243072725j)	(42.95345930616363+81.05332114479091j)	(51.819256175672734+71.20110806551818j)	(70.23911701552728+50.59633879224545j)	
(62.03410478070001+1.818115537818182j)	(58.46627807616363+14.036952972445457j)	(61.70193273370002+1.6311572681727275j)	(64.65298461913636-22.22019542347273j)	
(19.987251281763633-8.916889190673636j)	(15.926822402272727-5.076168233695455j)	(19.94051361082727-9.002286477523636j)	(25.836741360763643-17.14448946170909j)	
(24.53673206675455+5.8588030121572725j)	(16.20033264159091+5.682957475838181j)	(24.585517363127277+5.787453391332728j)	(38.207157481836354+6.266716436906363j)	
(50.23476895420001+20.723493576054544j)	(34.59996414186364+13.332740783718183j)	(50.28982266517273+20.647449320036365j)	(67.54600386184543+41.883114901418196j)	
(48.51729098233636-17.72583562679091j)	(35.541152954063634-18.54039157520909j)	(48.52905308116364-17.913926211299998j)	(68.3481653386909-3.786514412271818j)	
(22.809758619872728-21.51562760092727j)	(17.532640283790915-23.467530337236358j)	(22.869243621790904-21.628116434281818j)	(29.31140812961818-13.063199303345453j)	
(44.085289348254534-11.664843992754545j)	(43.127092881618175-20.754059531427274j)	(44.33008991583636-11.580388936118181j)	(39.187052640036356+2.3225459185527266j)	
