#FMR data, this file includes calibration measurements, correction factor and corrected S11
freq	S11m	S11o	S11l	S11s
(7924200000+0j)	(75.8765869141+22.528820037799996j)	(75.8765869141+22.528820037799996j)	(75.8765869141+22.528820037799996j)	(75.8765869141+22.528820037799996j)	
(7974100000+0j)	(76.5315628052-35.7815971375j)	(76.5315628052-35.7815971375j)	(76.5315628052-35.7815971375j)	(76.5315628052-35.7815971375j)	
(8024000000+0j)	(28.979042053199993-11.459574699399997j)	(28.979042053199993-11.459574699399997j)	(28.979042053199993-11.459574699399997j)	(28.979042053199993-11.459574699399997j)	
(8073900000+0j)	(24.748264312699998+9.393213272089996j)	(24.748264312699998+9.393213272089996j)	(24.748264312699998+9.393213272089996j)	(24.748264312699998+9.393213272089996j)	
(8123800000+0j)	(72.05103301999999+27.098642349199995j)	(72.05103301999999+27.098642349199995j)	(72.05103301999999+27.098642349199995j)	(72.05103301999999+27.098642349199995j)	
(8173700000+0j)	(94.9828643799-30.482854843099993j)	(94.9828643799-30.482854843099993j)	(94.9828643799-30.482854843099993j)	(94.9828643799-30.482854843099993j)	
(8223600000+0j)	(33.467597961399996-15.964131355300001j)	(33.467597961399996-15.964131355300001j)	(33.467597961399996-15.964131355300001j)	(33.467597961399996-15.964131355300001j)	
(8273500000+0j)	(25.1114311218+8.153414726259998j)	(25.1114311218+8.153414726259998j)	(25.1114311218+8.153414726259998j)	(25.1114311218+8.153414726259998j)	
(8323400000+0j)	(57.9519119263+27.6336421967j)	(57.9519119263+27.6336421967j)	(57.9519119263+27.6336421967j)	(57.9519119263+27.6336421967j)	
(8373300000+0j)	(93.01973724369999-16.254276275600002j)	(93.01973724369999-16.254276275600002j)	(93.01973724369999-16.254276275600002j)	(93.01973724369999-16.254276275600002j)	
(8423200000+0j)	(37.42579650879998-13.977830886800001j)	(37.42579650879998-13.977830886800001j)	(37.42579650879998-13.977830886800001j)	(37.42579650879998-13.977830886800001j)	
(8473100000+0j)	(26.969604492199995+3.4994485378299993j)	(26.969604492199995+3.4994485378299993j)	(26.969604492199995+3.4994485378299993j)	(26.969604492199995+3.4994485378299993j)	
(8523000000+0j)	(55.6556510925+14.441967964199998j)	(55.6556510925+14.441967964199998j)	(55.6556510925+14.441967964199998j)	(55.6556510925+14.441967964199998j)	
(8572900000+0j)	(76.31927490229998-6.311674594880002j)	(76.31927490229998-6.311674594880002j)	(76.31927490229998-6.311674594880002j)	(76.31927490229998-6.311674594880002j)	
(8622800000+0j)	(44.65731811519999-11.634691238399999j)	(44.65731811519999-11.634691238399999j)	(44.65731811519999-11.634691238399999j)	(44.65731811519999-11.634691238399999j)	
(8672700000+0j)	(34.35794830319999+1.5095294714000003j)	(34.35794830319999+1.5095294714000003j)	(34.35794830319999+1.5095294714000003j)	(34.35794830319999+1.5095294714000003j)	
(8722600000+0j)	(57.04082107539998+7.83561038971j)	(57.04082107539998+7.83561038971j)	(57.04082107539998+7.83561038971j)	(57.04082107539998+7.83561038971j)	
(8772500000+0j)	(70.7667922974-3.9609336852999997j)	(70.7667922974-3.9609336852999997j)	(70.7667922974-3.9609336852999997j)	(70.7667922974-3.9609336852999997j)	
(8822400000+0j)	(42.65489959720001-1.1965361833599995j)	(42.65489959720001-1.1965361833599995j)	(42.65489959720001-1.1965361833599995j)	(42.65489959720001-1.1965361833599995j)	
(8872300000+0j)	(39.153678893999995+6.134261131290001j)	(39.153678893999995+6.134261131290001j)	(39.153678893999995+6.134261131290001j)	(39.153678893999995+6.134261131290001j)	
(8922200000+0j)	(60.404907226599995+1.41679191589j)	(60.404907226599995+1.41679191589j)	(60.404907226599995+1.41679191589j)	(60.404907226599995+1.41679191589j)	
(8972100000+0j)	(57.449001312299984-11.302681922900002j)	(57.449001312299984-11.302681922900002j)	(57.449001312299984-11.302681922900002j)	(57.449001312299984-11.302681922900002j)	
(9022000000+0j)	(36.89857482909999+1.8665887117399997j)	(36.89857482909999+1.8665887117399997j)	(36.89857482909999+1.8665887117399997j)	(36.89857482909999+1.8665887117399997j)	
(9071900000+0j)	(40.639087677+8.91776275635j)	(40.639087677+8.91776275635j)	(40.639087677+8.91776275635j)	(40.639087677+8.91776275635j)	
(9121800000+0j)	(68.09767913819998-5.83372402191j)	(68.09767913819998-5.83372402191j)	(68.09767913819998-5.83372402191j)	(68.09767913819998-5.83372402191j)	
(9171700000+0j)	(57.9769172668-20.6885662079j)	(57.9769172668-20.6885662079j)	(57.9769172668-20.6885662079j)	(57.9769172668-20.6885662079j)	
(9221600000+0j)	(35.55824279789999+2.2307732105299998j)	(35.55824279789999+2.2307732105299998j)	(35.55824279789999+2.2307732105299998j)	(35.55824279789999+2.2307732105299998j)	
(9271500000+0j)	(40.40901947020001+13.569360732999996j)	(40.40901947020001+13.569360732999996j)	(40.40901947020001+13.569360732999996j)	(40.40901947020001+13.569360732999996j)	
(9321400000+0j)	(75.1432418823-0.8200378417969999j)	(75.1432418823-0.8200378417969999j)	(75.1432418823-0.8200378417969999j)	(75.1432418823-0.8200378417969999j)	
(9371300000+0j)	(59.70245361329999-18.617361068700003j)	(59.70245361329999-18.617361068700003j)	(59.70245361329999-18.617361068700003j)	(59.70245361329999-18.617361068700003j)	
(9421200000+0j)	(33.07344818119999+1.57493782043j)	(33.07344818119999+1.57493782043j)	(33.07344818119999+1.57493782043j)	(33.07344818119999+1.57493782043j)	
(9471100000+0j)	(37.05751800539999+13.735152244599997j)	(37.05751800539999+13.735152244599997j)	(37.05751800539999+13.735152244599997j)	(37.05751800539999+13.735152244599997j)	
(9521000000+0j)	(67.5663757324-0.923870027065j)	(67.5663757324-0.923870027065j)	(67.5663757324-0.923870027065j)	(67.5663757324-0.923870027065j)	
(9570900000+0j)	(59.49401473999999-19.233482360799997j)	(59.49401473999999-19.233482360799997j)	(59.49401473999999-19.233482360799997j)	(59.49401473999999-19.233482360799997j)	
(9620800000+0j)	(35.8738098145-0.0181161407381j)	(35.8738098145-0.0181161407381j)	(35.8738098145-0.0181161407381j)	(35.8738098145-0.0181161407381j)	
(9670700000+0j)	(40.18292236330001+10.211161613499998j)	(40.18292236330001+10.211161613499998j)	(40.18292236330001+10.211161613499998j)	(40.18292236330001+10.211161613499998j)	
(9720600000+0j)	(66.25760650630001-5.4979057312j)	(66.25760650630001-5.4979057312j)	(66.25760650630001-5.4979057312j)	(66.25760650630001-5.4979057312j)	
(9770500000+0j)	(59.30653762819999-15.453139305099999j)	(59.30653762819999-15.453139305099999j)	(59.30653762819999-15.453139305099999j)	(59.30653762819999-15.453139305099999j)	
(9820400000+0j)	(40.23501586909999+4.956413745879999j)	(40.23501586909999+4.956413745879999j)	(40.23501586909999+4.956413745879999j)	(40.23501586909999+4.956413745879999j)	
(9870300000+0j)	(43.35957717899999+11.954574585j)	(43.35957717899999+11.954574585j)	(43.35957717899999+11.954574585j)	(43.35957717899999+11.954574585j)	
(9920200000+0j)	(59.62884902949999-7.89330291748j)	(59.62884902949999-7.89330291748j)	(59.62884902949999-7.89330291748j)	(59.62884902949999-7.89330291748j)	
(9970100000+0j)	(51.894699096699995-12.2862434387j)	(51.894699096699995-12.2862434387j)	(51.894699096699995-12.2862434387j)	(51.894699096699995-12.2862434387j)	
(10020000000+0j)	(37.552978515599996+8.093305587770002j)	(37.552978515599996+8.093305587770002j)	(37.552978515599996+8.093305587770002j)	(37.552978515599996+8.093305587770002j)	
(10069900000+0j)	(46.1946868896+14.355114936799996j)	(46.1946868896+14.355114936799996j)	(46.1946868896+14.355114936799996j)	(46.1946868896+14.355114936799996j)	
(10119800000+0j)	(59.54392623900001-17.4892883301j)	(59.54392623900001-17.4892883301j)	(59.54392623900001-17.4892883301j)	(59.54392623900001-17.4892883301j)	
(10169700000+0j)	(46.0532417297-18.35938262939999j)	(46.0532417297-18.35938262939999j)	(46.0532417297-18.35938262939999j)	(46.0532417297-18.35938262939999j)	
(10219600000+0j)	(37.79971313480001+10.048655509900001j)	(37.79971313480001+10.048655509900001j)	(37.79971313480001+10.048655509900001j)	(37.79971313480001+10.048655509900001j)	
(10269500000+0j)	(48.1197166443+20.512258529700002j)	(48.1197166443+20.512258529700002j)	(48.1197166443+20.512258529700002j)	(48.1197166443+20.512258529700002j)	
(10319400000+0j)	(66.26474761960002-16.989437103299995j)	(66.26474761960002-16.989437103299995j)	(66.26474761960002-16.989437103299995j)	(66.26474761960002-16.989437103299995j)	
(10369300000+0j)	(45.15361785890001-22.4157428741j)	(45.15361785890001-22.4157428741j)	(45.15361785890001-22.4157428741j)	(45.15361785890001-22.4157428741j)	
(10419200000+0j)	(34.7432441711+10.075305938699998j)	(34.7432441711+10.075305938699998j)	(34.7432441711+10.075305938699998j)	(34.7432441711+10.075305938699998j)	
(10469100000+0j)	(42.34022521970001+24.455938339199996j)	(42.34022521970001+24.455938339199996j)	(42.34022521970001+24.455938339199996j)	(42.34022521970001+24.455938339199996j)	
(10519000000+0j)	(67.47720336909998-10.203368186999997j)	(67.47720336909998-10.203368186999997j)	(67.47720336909998-10.203368186999997j)	(67.47720336909998-10.203368186999997j)	
(10568900000+0j)	(45.873111724900006-26.639900207499995j)	(45.873111724900006-26.639900207499995j)	(45.873111724900006-26.639900207499995j)	(45.873111724900006-26.639900207499995j)	
(10618800000+0j)	(36.156703949+3.252150773999999j)	(36.156703949+3.252150773999999j)	(36.156703949+3.252150773999999j)	(36.156703949+3.252150773999999j)	
(10668700000+0j)	(39.33942031859999+19.820308685300002j)	(39.33942031859999+19.820308685300002j)	(39.33942031859999+19.820308685300002j)	(39.33942031859999+19.820308685300002j)	
(10718600000+0j)	(64.95594787599998-3.292001247409999j)	(64.95594787599998-3.292001247409999j)	(64.95594787599998-3.292001247409999j)	(64.95594787599998-3.292001247409999j)	
(10768500000+0j)	(52.62911987299999-27.7033405304j)	(52.62911987299999-27.7033405304j)	(52.62911987299999-27.7033405304j)	(52.62911987299999-27.7033405304j)	
(10818400000+0j)	(43.727439880400006-1.4766345024100003j)	(43.727439880400006-1.4766345024100003j)	(43.727439880400006-1.4766345024100003j)	(43.727439880400006-1.4766345024100003j)	
(10868300000+0j)	(39.408195495600005+17.535419464099995j)	(39.408195495600005+17.535419464099995j)	(39.408195495600005+17.535419464099995j)	(39.408195495600005+17.535419464099995j)	
(10918200000+0j)	(55.612625122099985+3.5964117050200004j)	(55.612625122099985+3.5964117050200004j)	(55.612625122099985+3.5964117050200004j)	(55.612625122099985+3.5964117050200004j)	
(10968100000+0j)	(54.94245529169999-16.283903121899996j)	(54.94245529169999-16.283903121899996j)	(54.94245529169999-16.283903121899996j)	(54.94245529169999-16.283903121899996j)	
(11018000000+0j)	(50.108680725099994-0.80547362566j)	(50.108680725099994-0.80547362566j)	(50.108680725099994-0.80547362566j)	(50.108680725099994-0.80547362566j)	
(11067900000+0j)	(43.748924255400006+9.297219276429999j)	(43.748924255400006+9.297219276429999j)	(43.748924255400006+9.297219276429999j)	(43.748924255400006+9.297219276429999j)	
(11117800000+0j)	(43.7288208008-0.35308447480199995j)	(43.7288208008-0.35308447480199995j)	(43.7288208008-0.35308447480199995j)	(43.7288208008-0.35308447480199995j)	
(11167700000+0j)	(51.05693054200001-7.8202667236300005j)	(51.05693054200001-7.8202667236300005j)	(51.05693054200001-7.8202667236300005j)	(51.05693054200001-7.8202667236300005j)	
(11217600000+0j)	(58.90158462520001+0.7793303132059999j)	(58.90158462520001+0.7793303132059999j)	(58.90158462520001+0.7793303132059999j)	(58.90158462520001+0.7793303132059999j)	
(11267500000+0j)	(52.673748016400005+4.275890350339999j)	(52.673748016400005+4.275890350339999j)	(52.673748016400005+4.275890350339999j)	(52.673748016400005+4.275890350339999j)	
(11317400000+0j)	(42.11689376830001-4.90338993073j)	(42.11689376830001-4.90338993073j)	(42.11689376830001-4.90338993073j)	(42.11689376830001-4.90338993073j)	
(11367300000+0j)	(43.790271759-3.8333117961900003j)	(43.790271759-3.8333117961900003j)	(43.790271759-3.8333117961900003j)	(43.790271759-3.8333117961900003j)	
(11417200000+0j)	(59.5885238647+11.132942199699999j)	(59.5885238647+11.132942199699999j)	(59.5885238647+11.132942199699999j)	(59.5885238647+11.132942199699999j)	
(11467100000+0j)	(63.44818878169998+8.264858245850002j)	(63.44818878169998+8.264858245850002j)	(63.44818878169998+8.264858245850002j)	(63.44818878169998+8.264858245850002j)	
(11517000000+0j)	(42.112480163600004-8.314095497129998j)	(42.112480163600004-8.314095497129998j)	(42.112480163600004-8.314095497129998j)	(42.112480163600004-8.314095497129998j)	
(11566900000+0j)	(36.80662155150001-4.38785839081j)	(36.80662155150001-4.38785839081j)	(36.80662155150001-4.38785839081j)	(36.80662155150001-4.38785839081j)	
(11616800000+0j)	(49.28242111210001+11.368907928500002j)	(49.28242111210001+11.368907928500002j)	(49.28242111210001+11.368907928500002j)	(49.28242111210001+11.368907928500002j)	
(11666700000+0j)	(67.44388580320002+16.633680343599995j)	(67.44388580320002+16.633680343599995j)	(67.44388580320002+16.633680343599995j)	(67.44388580320002+16.633680343599995j)	
(11716600000+0j)	(50.81690979-14.865906715399996j)	(50.81690979-14.865906715399996j)	(50.81690979-14.865906715399996j)	(50.81690979-14.865906715399996j)	
(11766500000+0j)	(33.53891754149999-10.514173507700002j)	(33.53891754149999-10.514173507700002j)	(33.53891754149999-10.514173507700002j)	(33.53891754149999-10.514173507700002j)	
(11816400000+0j)	(44.5095672607+12.016936302199998j)	(44.5095672607+12.016936302199998j)	(44.5095672607+12.016936302199998j)	(44.5095672607+12.016936302199998j)	
(11866300000+0j)	(66.6519165039+22.354093551599995j)	(66.6519165039+22.354093551599995j)	(66.6519165039+22.354093551599995j)	(66.6519165039+22.354093551599995j)	
(11916200000+0j)	(59.7690887451-10.9752178192j)	(59.7690887451-10.9752178192j)	(59.7690887451-10.9752178192j)	(59.7690887451-10.9752178192j)	
(11966100000+0j)	(35.672168731700005-14.6513996124j)	(35.672168731700005-14.6513996124j)	(35.672168731700005-14.6513996124j)	(35.672168731700005-14.6513996124j)	
(12016000000+0j)	(37.8250350952+6.879635334009999j)	(37.8250350952+6.879635334009999j)	(37.8250350952+6.879635334009999j)	(37.8250350952+6.879635334009999j)	
(12065900000+0j)	(56.21493530269999+24.34799575810001j)	(56.21493530269999+24.34799575810001j)	(56.21493530269999+24.34799575810001j)	(56.21493530269999+24.34799575810001j)	
(12115800000+0j)	(64.1306152344-7.285048484799998j)	(64.1306152344-7.285048484799998j)	(64.1306152344-7.285048484799998j)	(64.1306152344-7.285048484799998j)	
(12165700000+0j)	(38.00080490109999-15.676417350799998j)	(38.00080490109999-15.676417350799998j)	(38.00080490109999-15.676417350799998j)	(38.00080490109999-15.676417350799998j)	
(12215600000+0j)	(38.3528862+1.0999872684500003j)	(38.3528862+1.0999872684500003j)	(38.3528862+1.0999872684500003j)	(38.3528862+1.0999872684500003j)	
(12265500000+0j)	(53.73254775999999+18.4871788025j)	(53.73254775999999+18.4871788025j)	(53.73254775999999+18.4871788025j)	(53.73254775999999+18.4871788025j)	
(12315400000+0j)	(65.88173675539998-0.8712619543079999j)	(65.88173675539998-0.8712619543079999j)	(65.88173675539998-0.8712619543079999j)	(65.88173675539998-0.8712619543079999j)	
(12365300000+0j)	(44.8152809143-14.092244148299999j)	(44.8152809143-14.092244148299999j)	(44.8152809143-14.092244148299999j)	(44.8152809143-14.092244148299999j)	
(12415200000+0j)	(39.5362358093-0.497991800308j)	(39.5362358093-0.497991800308j)	(39.5362358093-0.497991800308j)	(39.5362358093-0.497991800308j)	
(12465100000+0j)	(52.06455230710001+14.4172992706j)	(52.06455230710001+14.4172992706j)	(52.06455230710001+14.4172992706j)	(52.06455230710001+14.4172992706j)	
(12515000000+0j)	(60.286712646499986+4.839733600620001j)	(60.286712646499986+4.839733600620001j)	(60.286712646499986+4.839733600620001j)	(60.286712646499986+4.839733600620001j)	
(12564900000+0j)	(46.26888656620002-11.157867431599998j)	(46.26888656620002-11.157867431599998j)	(46.26888656620002-11.157867431599998j)	(46.26888656620002-11.157867431599998j)	
(12614800000+0j)	(39.3559570313-1.88635730743j)	(39.3559570313-1.88635730743j)	(39.3559570313-1.88635730743j)	(39.3559570313-1.88635730743j)	
(12664700000+0j)	(50.23331451420001+10.318938255299999j)	(50.23331451420001+10.318938255299999j)	(50.23331451420001+10.318938255299999j)	(50.23331451420001+10.318938255299999j)	
(12714600000+0j)	(62.33766937259999+2.478116512300001j)	(62.33766937259999+2.478116512300001j)	(62.33766937259999+2.478116512300001j)	(62.33766937259999+2.478116512300001j)	
(12764500000+0j)	(46.44166946410001-11.9431180954j)	(46.44166946410001-11.9431180954j)	(46.44166946410001-11.9431180954j)	(46.44166946410001-11.9431180954j)	
(12814400000+0j)	(39.542331695600005-1.8729498386399996j)	(39.542331695600005-1.8729498386399996j)	(39.542331695600005-1.8729498386399996j)	(39.542331695600005-1.8729498386399996j)	
(12864300000+0j)	(53.1141242981+12.796255111700003j)	(53.1141242981+12.796255111700003j)	(53.1141242981+12.796255111700003j)	(53.1141242981+12.796255111700003j)	
(12914200000+0j)	(65.05786132809999+3.1140117645300003j)	(65.05786132809999+3.1140117645300003j)	(65.05786132809999+3.1140117645300003j)	(65.05786132809999+3.1140117645300003j)	
(12964100000+0j)	(47.620731353800004-11.6009063721j)	(47.620731353800004-11.6009063721j)	(47.620731353800004-11.6009063721j)	(47.620731353800004-11.6009063721j)	
(13014000000+0j)	(37.545649788572725-0.6840442202304545j)	(37.545649788572725-0.6840442202304545j)	(37.545649788572725-0.6840442202304545j)	(37.545649788572725-0.6840442202304545j)	
(13063900000+0j)	(47.17059083414545+13.607885967645455j)	(47.17059083414545+13.607885967645455j)	(47.17059083414545+13.607885967645455j)	(47.17059083414545+13.607885967645455j)	
(13113800000+0j)	(66.78314486417273+4.4847637956836355j)	(66.78314486417273+4.4847637956836355j)	(66.78314486417273+4.4847637956836355j)	(66.78314486417273+4.4847637956836355j)	
(13163700000+0j)	(48.835803985563636-13.38589746300909j)	(48.835803985563636-13.38589746300909j)	(48.835803985563636-13.38589746300909j)	(48.835803985563636-13.38589746300909j)	
(13213600000+0j)	(36.18719204992726-4.892250407825452j)	(36.18719204992726-4.892250407825452j)	(36.18719204992726-4.892250407825452j)	(36.18719204992726-4.892250407825452j)	
(13263500000+0j)	(44.98906083540001+11.138005516700003j)	(44.98906083540001+11.138005516700003j)	(44.98906083540001+11.138005516700003j)	(44.98906083540001+11.138005516700003j)	
(13313400000+0j)	(67.01650168674546+8.340884208681818j)	(67.01650168674546+8.340884208681818j)	(67.01650168674546+8.340884208681818j)	(67.01650168674546+8.340884208681818j)	
(13363300000+0j)	(56.92835651744546-14.056638110809091j)	(56.92835651744546-14.056638110809091j)	(56.92835651744546-14.056638110809091j)	(56.92835651744546-14.056638110809091j)	
(13413200000+0j)	(38.581643538045455-6.274687333542727j)	(38.581643538045455-6.274687333542727j)	(38.581643538045455-6.274687333542727j)	(38.581643538045455-6.274687333542727j)	
(13463100000+0j)	(42.13043594357272+9.026668288488183j)	(42.13043594357272+9.026668288488183j)	(42.13043594357272+9.026668288488183j)	(42.13043594357272+9.026668288488183j)	
(13513000000+0j)	(59.789848327590896+13.623924862227273j)	(59.789848327590896+13.623924862227273j)	(59.789848327590896+13.623924862227273j)	(59.789848327590896+13.623924862227273j)	
(13562900000+0j)	(58.77307857168182-8.667881705548181j)	(58.77307857168182-8.667881705548181j)	(58.77307857168182-8.667881705548181j)	(58.77307857168182-8.667881705548181j)	
(13612800000+0j)	(40.295854048290906-6.677872224288182j)	(40.295854048290906-6.677872224288182j)	(40.295854048290906-6.677872224288182j)	(40.295854048290906-6.677872224288182j)	
(13662700000+0j)	(41.35720339685454+3.32340550422909j)	(41.35720339685454+3.32340550422909j)	(41.35720339685454+3.32340550422909j)	(41.35720339685454+3.32340550422909j)	
(13712600000+0j)	(56.73289073597271+7.966764493418182j)	(56.73289073597271+7.966764493418182j)	(56.73289073597271+7.966764493418182j)	(56.73289073597271+7.966764493418182j)	
(13762500000+0j)	(55.54980538111819-4.303343079305454j)	(55.54980538111819-4.303343079305454j)	(55.54980538111819-4.303343079305454j)	(55.54980538111819-4.303343079305454j)	
(13812400000+0j)	(45.66521453860909-5.410476641223636j)	(45.66521453860909-5.410476641223636j)	(45.66521453860909-5.410476641223636j)	(45.66521453860909-5.410476641223636j)	
(13862300000+0j)	(47.54181671142728+0.7169351198458183j)	(47.54181671142728+0.7169351198458183j)	(47.54181671142728+0.7169351198458183j)	(47.54181671142728+0.7169351198458183j)	
(13912200000+0j)	(55.24219443585453+1.701119043609091j)	(55.24219443585453+1.701119043609091j)	(55.24219443585453+1.701119043609091j)	(55.24219443585453+1.701119043609091j)	
(13962100000+0j)	(50.50999589402726-0.4095862860030908j)	(50.50999589402726-0.4095862860030908j)	(50.50999589402726-0.4095862860030908j)	(50.50999589402726-0.4095862860030908j)	
(14012000000+0j)	(45.885442907199995+3.716914437034545j)	(45.885442907199995+3.716914437034545j)	(45.885442907199995+3.716914437034545j)	(45.885442907199995+3.716914437034545j)	
(14061900000+0j)	(53.856475483318185+1.709800666024545j)	(53.856475483318185+1.709800666024545j)	(53.856475483318185+1.709800666024545j)	(53.856475483318185+1.709800666024545j)	
(14111800000+0j)	(54.35020238704546-4.884957660328183j)	(54.35020238704546-4.884957660328183j)	(54.35020238704546-4.884957660328183j)	(54.35020238704546-4.884957660328183j)	
(14161700000+0j)	(43.44159975916363-2.7677620757690904j)	(43.44159975916363-2.7677620757690904j)	(43.44159975916363-2.7677620757690904j)	(43.44159975916363-2.7677620757690904j)	
(14211600000+0j)	(40.358174757563646+6.637854142620907j)	(40.358174757563646+6.637854142620907j)	(40.358174757563646+6.637854142620907j)	(40.358174757563646+6.637854142620907j)	
(14261500000+0j)	(56.97341398757273+6.234259388666364j)	(56.97341398757273+6.234259388666364j)	(56.97341398757273+6.234259388666364j)	(56.97341398757273+6.234259388666364j)	
(14311400000+0j)	(63.30816511676365-15.437642184145453j)	(63.30816511676365-15.437642184145453j)	(63.30816511676365-15.437642184145453j)	(63.30816511676365-15.437642184145453j)	
(14361300000+0j)	(40.166257338109084-9.378061467950909j)	(40.166257338109084-9.378061467950909j)	(40.166257338109084-9.378061467950909j)	(40.166257338109084-9.378061467950909j)	
(14411200000+0j)	(36.722144387027285+8.721300905400001j)	(36.722144387027285+8.721300905400001j)	(36.722144387027285+8.721300905400001j)	(36.722144387027285+8.721300905400001j)	
(14461100000+0j)	(58.49603063410909+17.373849695363635j)	(58.49603063410909+17.373849695363635j)	(58.49603063410909+17.373849695363635j)	(58.49603063410909+17.373849695363635j)	
(14511000000+0j)	(75.36402546276364-18.64848171583636j)	(75.36402546276364-18.64848171583636j)	(75.36402546276364-18.64848171583636j)	(75.36402546276364-18.64848171583636j)	
(14560900000+0j)	(40.50005964799092-13.028608928990904j)	(40.50005964799092-13.028608928990904j)	(40.50005964799092-13.028608928990904j)	(40.50005964799092-13.028608928990904j)	
(14610800000+0j)	(29.6583480835+8.078158378600913j)	(29.6583480835+8.078158378600913j)	(29.6583480835+8.078158378600913j)	(29.6583480835+8.078158378600913j)	
(14660700000+0j)	(50.83454270792727+20.314807718481827j)	(50.83454270792727+20.314807718481827j)	(50.83454270792727+20.314807718481827j)	(50.83454270792727+20.314807718481827j)	
(14710600000+0j)	(78.62102647261818-15.7233288505j)	(78.62102647261818-15.7233288505j)	(78.62102647261818-15.7233288505j)	(78.62102647261818-15.7233288505j)	
(14760500000+0j)	(42.50328757543637-19.66024988344545j)	(42.50328757543637-19.66024988344545j)	(42.50328757543637-19.66024988344545j)	(42.50328757543637-19.66024988344545j)	
(14810400000+0j)	(27.976507533654548+3.659328742458181j)	(27.976507533654548+3.659328742458181j)	(27.976507533654548+3.659328742458181j)	(27.976507533654548+3.659328742458181j)	
(14860300000+0j)	(47.09476921775454+20.02826638652727j)	(47.09476921775454+20.02826638652727j)	(47.09476921775454+20.02826638652727j)	(47.09476921775454+20.02826638652727j)	
(14910200000+0j)	(90.91668285025457-16.746749877890906j)	(90.91668285025457-16.746749877890906j)	(90.91668285025457-16.746749877890906j)	(90.91668285025457-16.746749877890906j)	
(14960100000+0j)	(47.73494373666363-21.33693140207272j)	(47.73494373666363-21.33693140207272j)	(47.73494373666363-21.33693140207272j)	(47.73494373666363-21.33693140207272j)	
(15010000000+0j)	(29.976959055118183+4.845847389912726j)	(29.976959055118183+4.845847389912726j)	(29.976959055118183+4.845847389912726j)	(29.976959055118183+4.845847389912726j)	
(15059900000+0j)	(43.928731744945466+20.356512069681823j)	(43.928731744945466+20.356512069681823j)	(43.928731744945466+20.356512069681823j)	(43.928731744945466+20.356512069681823j)	
(15109800000+0j)	(80.78266906733637-7.473087224097273j)	(80.78266906733637-7.473087224097273j)	(80.78266906733637-7.473087224097273j)	(80.78266906733637-7.473087224097273j)	
(15159700000+0j)	(49.31601298937273-18.866826317536358j)	(49.31601298937273-18.866826317536358j)	(49.31601298937273-18.866826317536358j)	(49.31601298937273-18.866826317536358j)	
(15209600000+0j)	(29.624178626354535+5.13150041753818j)	(29.624178626354535+5.13150041753818j)	(29.624178626354535+5.13150041753818j)	(29.624178626354535+5.13150041753818j)	
(15259500000+0j)	(42.17302044960001+14.91195305911818j)	(42.17302044960001+14.91195305911818j)	(42.17302044960001+14.91195305911818j)	(42.17302044960001+14.91195305911818j)	
(15309400000+0j)	(74.30020488392728-14.354130484809088j)	(74.30020488392728-14.354130484809088j)	(74.30020488392728-14.354130484809088j)	(74.30020488392728-14.354130484809088j)	
(15359300000+0j)	(51.42044102060909-19.698138497072723j)	(51.42044102060909-19.698138497072723j)	(51.42044102060909-19.698138497072723j)	(51.42044102060909-19.698138497072723j)	
(15409200000+0j)	(34.07493279195453+4.707125577060909j)	(34.07493279195453+4.707125577060909j)	(34.07493279195453+4.707125577060909j)	(34.07493279195453+4.707125577060909j)	
(15459100000+0j)	(45.46549086138183+16.93918904391818j)	(45.46549086138183+16.93918904391818j)	(45.46549086138183+16.93918904391818j)	(45.46549086138183+16.93918904391818j)	
(15509000000+0j)	(69.52068814364544-16.212768381327272j)	(69.52068814364544-16.212768381327272j)	(69.52068814364544-16.212768381327272j)	(69.52068814364544-16.212768381327272j)	
(15558900000+0j)	(51.68189066107272-15.700457226127268j)	(51.68189066107272-15.700457226127268j)	(51.68189066107272-15.700457226127268j)	(51.68189066107272-15.700457226127268j)	
(15608800000+0j)	(34.32426695394546+9.360909808763633j)	(34.32426695394546+9.360909808763633j)	(34.32426695394546+9.360909808763633j)	(34.32426695394546+9.360909808763633j)	
(15658700000+0j)	(43.358249317481814+15.812550197954549j)	(43.358249317481814+15.812550197954549j)	(43.358249317481814+15.812550197954549j)	(43.358249317481814+15.812550197954549j)	
(15708600000+0j)	(62.62420931727272-16.393784089490904j)	(62.62420931727272-16.393784089490904j)	(62.62420931727272-16.393784089490904j)	(62.62420931727272-16.393784089490904j)	
(15758500000+0j)	(48.12958942762727-16.363550706381826j)	(48.12958942762727-16.363550706381826j)	(48.12958942762727-16.363550706381826j)	(48.12958942762727-16.363550706381826j)	
(15808400000+0j)	(37.37753538651817+9.16868435252727j)	(37.37753538651817+9.16868435252727j)	(37.37753538651817+9.16868435252727j)	(37.37753538651817+9.16868435252727j)	
(15858300000+0j)	(45.013287284190916+14.784675598172731j)	(45.013287284190916+14.784675598172731j)	(45.013287284190916+14.784675598172731j)	(45.013287284190916+14.784675598172731j)	
(15908200000+0j)	(61.272680455954536-21.509123542118182j)	(61.272680455954536-21.509123542118182j)	(61.272680455954536-21.509123542118182j)	(61.272680455954536-21.509123542118182j)	
(15958100000+0j)	(47.686952070754536-17.98898852951818j)	(47.686952070754536-17.98898852951818j)	(47.686952070754536-17.98898852951818j)	(47.686952070754536-17.98898852951818j)	
