B, 0, 0, 0, 0, 0.25, 0.025, 0.25, 0.25, 0.25, 0.95, 0.95, 0.95, 0.95, 1.33, 1.34, 1.33, 1.33, 1.34, 2.70, 2.70, 2.70, 3.78, 3.79, 3.79
dB, 0, 0, 0, 0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.34, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01
alpha, 556.638, 556.638, 556.638, 556.469, 557.227, 556.385, 556.638, 557.143, 557.144, 556.553, 556.803, 556.638, 557.574, 556.834, 556.358, 554.976, 556.297, 556.29, 556.256, 557.037, 556.954, 556.791, 556.256, 557.365
