I, -0.893, -0.793, -0.693, -0.594, -0.497, -0.399, -0.300, -0.202, -0.102, 0.002, 0.097, 0.198, 0.293, 0.394, 0.494, 0.589, 0.689, 0.788, 0.888
V, -0.999, -0.887, -0.775, -0.663, -0.556, -0.443, -0.331, -0.224, -0.112, 0.000, 0.112, 0.224, 0.332, 0.444, 0.556, 0.664, 0.776, 0.888, 1
v_tolva, -0.9987, -0.8864, -0.7741, -0.6618, -0.55433, -0.442, -0.3296, -0.222, -0.10989, 0.00244, 0.11477, 0.22711, 0.33455, 0.44689, 0.55922, 0.66667, 0.779, 0.89133, 1.00366
delta_I, 0.001
delta_V, 0.001
