B, 0.0, 0.0, 0.0, -0.01, -0.01, -0.01, -0.03, -0.03, -0.03, -0.042, -0.043, -0.043, -0.043, 0.187, 0.188, 0.188, 0.188, 0.188, 0.188, 0.188, 0.233, 0.233, 0.233, 0.233, 0.081, 0.081, 0.081, 0.081, 0.043, 0.044, 0.044, 0.155, 0.115, 0.115, 0.205, 0.204, -0.253, -0.253, -0.253, -0.197, -0.197, -0.239, -0.239, -0.239, -0.188, -0.188, -0.188, 0.188, -0.188, -0.188, -0.125, -0.125, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.091, -0.090, -0.090, -0.090, -0.15, -0.15, -0.15, -0.191, -0.191, -0.191
alpha, 583.83, 585.20, 585.03, 586.60, 587.82, 587.12, 589.56, 589.56, 590.44, 595.67, 593.57, 594.45, 594.45, 562.35, 561.66, 563.92, 564.10, 561.66, 563.23, 562.35, 559.56, 558.34, 557.82, 558.52, 578.05, 578.58, 578.05, 579.10, 582.06, 581.37, 581.37, 572.82, 573.69, 572.82, 559.56, 559.56, 617.12, 615.38, 615.90, 611.72, 611.72, 620.79, 619.22, 619.22, 609.62, 609.62, 610.84, 610.84, 608.92, 609.62, 604.39, 604.39, 604.39, 602.82, 604.39, 602.01, 601.47, 602.01, 596.36, 597.13, 595.36, 595.36, 604.49, 605.55, 606.18, 608.12, 609.18, 609.45
